x,y
0,0
2560,1440
1157,737
1157,737
1157,737
1151,745
1151,745
1151,745
1145,755
1145,755
1145,755
1137,767
1137,767
1132,778
1132,778
1132,778
1127,790
1127,790
1127,790
1121,802
1121,802
1121,802
1117,813
1117,813
1117,813
1112,825
1112,825
1109,837
1109,837
1109,837
1105,847
1105,847
1105,847
1103,858
1103,858
1103,858
1099,869
1099,869
1099,876
1099,876
1099,876
1098,882
1098,882
1098,882
1098,888
1098,888
1098,893
1098,893
1098,893
1098,896
1098,896
1098,896
1098,899
1098,899
1098,899
1098,903
1098,903
1098,903
1098,905
1098,905
1098,909
1098,909
1098,909
1098,912
1098,912
1098,912
1098,914
1098,914
1098,914
1098,916
1098,916
1098,916
1098,918
1098,919
1098,919
1098,919
1098,921
1098,921
1098,921
1098,922
1098,922
1098,922
1098,923
1098,923
1098,923
1098,924
1098,924
1098,925
1098,925
1098,925
1098,925
1098,925
1098,927
1098,927
1098,927
1099,927
1099,927
1099,927
1099,928
1099,928
1099,928
1099,929
1099,929
1099,929
1099,929
1099,929
1100,929
1100,929
1100,929
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1100,930
1101,930
1101,930
1101,930
1101,930
1101,930
1102,930
1102,930
1102,930
1102,930
1102,930
1103,930
1103,930
1104,930
1104,930
1104,930
1105,930
1105,930
1106,930
1106,930
1106,930
1107,930
1107,930
1108,930
1108,930
1108,930
1109,930
1109,930
1111,930
1111,930
1111,930
1114,931
1114,931
1118,935
1118,935
1124,941
1124,941
1124,941
1129,946
1129,946
1129,946
1136,953
1136,953
1142,962
1142,962
1148,972
1148,972
1148,972
1155,981
1155,981
1161,991
1161,991
1167,1000
1167,1000
1167,1000
1173,1011
1173,1011
1176,1019
1176,1019
1176,1019
1178,1024
1178,1024
1180,1029
1180,1029
1180,1029
1182,1033
1182,1033
1182,1034
1182,1034
1182,1034
1182,1035
1182,1035
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1036
1182,1035
1182,1035
1182,1035
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1034
1182,1033
1182,1033
1182,1033
1181,1032
1181,1032
1180,1032
1180,1032
1180,1032
1176,1032
1176,1032
1174,1030
1174,1030
1171,1029
1171,1029
1171,1029
1167,1027
1167,1027
1162,1025
1162,1025
1157,1023
1157,1023
1157,1023
1152,1021
1152,1021
1145,1018
1145,1018
1145,1018
1140,1015
1140,1015
1132,1010
1132,1010
1127,1007
1127,1007
1127,1007
1121,1004
1121,1004
1114,1000
1114,1000
1114,1000
1108,996
1108,996
1101,992
1101,992
1101,992
1095,989
1095,989
1089,986
1089,986
1083,982
1083,982
1083,982
1074,978
1074,978
1068,975
1068,975
1063,972
1063,972
1063,972
1060,970
1060,970
1056,967
1056,967
1052,965
1052,965
1052,965
1049,963
1049,963
1045,961
1045,961
1042,961
1042,961
1042,961
1038,959
1038,959
1034,958
1034,958
1031,956
1031,956
1027,954
1027,954
1027,954
1022,952
1022,952
1017,951
1017,951
1014,951
1014,951
1014,951
1009,950
1009,950
1005,949
1005,949
1000,947
1000,947
1000,947
996,946
996,946
993,946
993,946
989,945
989,945
989,945
987,944
987,944
985,943
985,943
982,943
982,943
981,943
981,943
981,943
978,942
978,942
975,942
975,942
973,941
973,941
973,941
971,941
971,941
969,940
969,940
967,940
967,940
965,940
965,940
965,940
965,940
965,940
964,939
964,939
963,939
963,939
962,939
962,939
962,939
961,939
961,939
961,939
961,939
959,939
959,939
959,939
958,939
958,939
955,939
955,939
953,940
953,940
953,940
951,941
951,941
948,942
948,942
944,943
944,943
944,943
941,944
941,944
939,945
939,945
937,946
937,946
936,947
936,947
936,947
935,948
935,948
934,948
934,948
934,949
934,949
933,949
933,949
932,950
932,950
932,950
931,951
931,951
930,952
930,952
929,953
929,953
929,953
928,954
928,954
927,956
927,956
926,956
926,956
926,956
926,957
926,957
925,958
925,958
925,958
925,958
925,958
924,958
924,958
924,958
924,958
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
924,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
923,959
922,959
922,959
922,960
922,960
922,961
922,961
922,961
922,961
922,961
921,963
921,963
921,964
921,964
920,964
920,964
920,964
920,964
920,964
920,965
920,965
920,965
920,965
920,965
920,965
920,965
920,966
920,966
